site,survey,species,count
Carp State,3,whimbrel,0
Carp State,3,long_billed_curlew,0
Carp State,3,marbled_godwit,0
Carp State,3,black_turnstone,0
Carp State,3,sanderling,0
Carp State,3,western_sandpiper,0
Carp State,3,least_sandpiper,0
Carp State,3,dunlin,0
Dos Pueblos,1,black_bellied_plover,0
Dos Pueblos,1,snowy_plover,0
Dos Pueblos,1,semipalmated_plover,2
Dos Pueblos,1,killdeer,6
Dos Pueblos,1,greater_yellowlegs,0
Dos Pueblos,1,willet,0
Dos Pueblos,1,spotted_sandpiper,1
Dos Pueblos,1,whimbrel,0
Dos Pueblos,1,long_billed_curlew,0
Dos Pueblos,1,marbled_godwit,0
Dos Pueblos,1,black_turnstone,0
Dos Pueblos,1,sanderling,41
Dos Pueblos,1,western_sandpiper,0
Dos Pueblos,1,least_sandpiper,0
Dos Pueblos,1,dunlin,0
Dos Pueblos,2,black_bellied_plover,0
Dos Pueblos,2,snowy_plover,0
Dos Pueblos,2,semipalmated_plover,0
Dos Pueblos,2,killdeer,0
Dos Pueblos,2,greater_yellowlegs,0
Dos Pueblos,2,willet,0
Dos Pueblos,2,spotted_sandpiper,1
Dos Pueblos,2,whimbrel,0
Dos Pueblos,2,long_billed_curlew,0
Dos Pueblos,2,marbled_godwit,0
Dos Pueblos,2,black_turnstone,0
Dos Pueblos,2,sanderling,7
Dos Pueblos,2,western_sandpiper,0
Dos Pueblos,2,least_sandpiper,0
Dos Pueblos,2,dunlin,0
Dos Pueblos,3,black_bellied_plover,0
Dos Pueblos,3,snowy_plover,0
Dos Pueblos,3,semipalmated_plover,0
Dos Pueblos,3,killdeer,1
Dos Pueblos,3,greater_yellowlegs,0
Dos Pueblos,3,willet,0
Dos Pueblos,3,spotted_sandpiper,1
Dos Pueblos,3,whimbrel,0
Dos Pueblos,3,long_billed_curlew,0
Dos Pueblos,3,marbled_godwit,0
Dos Pueblos,3,black_turnstone,0
Dos Pueblos,3,sanderling,37
Dos Pueblos,3,western_sandpiper,0
Dos Pueblos,3,least_sandpiper,0
Dos Pueblos,3,dunlin,0
East Campus,1,black_bellied_plover,6
East Campus,1,snowy_plover,0
East Campus,1,semipalmated_plover,25
East Campus,1,killdeer,6
East Campus,1,greater_yellowlegs,1
East Campus,1,willet,0
East Campus,1,spotted_sandpiper,0
East Campus,1,whimbrel,1
East Campus,1,long_billed_curlew,1
East Campus,1,marbled_godwit,0
East Campus,1,black_turnstone,7
East Campus,1,sanderling,223
East Campus,1,western_sandpiper,2
East Campus,1,least_sandpiper,28
East Campus,1,dunlin,0
East Campus,2,black_bellied_plover,5
East Campus,2,snowy_plover,0
East Campus,2,semipalmated_plover,0
East Campus,2,killdeer,6
East Campus,2,greater_yellowlegs,1
East Campus,2,willet,6
East Campus,2,spotted_sandpiper,0
East Campus,2,whimbrel,2
East Campus,2,long_billed_curlew,5
East Campus,2,marbled_godwit,20
East Campus,2,black_turnstone,0
East Campus,2,sanderling,188
East Campus,2,western_sandpiper,0
East Campus,2,least_sandpiper,25
East Campus,2,dunlin,0
East Campus,3,black_bellied_plover,9
East Campus,3,snowy_plover,0
East Campus,3,semipalmated_plover,15
East Campus,3,killdeer,0
East Campus,3,greater_yellowlegs,3
East Campus,3,willet,2
East Campus,3,spotted_sandpiper,0
East Campus,3,whimbrel,0
East Campus,3,long_billed_curlew,0
East Campus,3,marbled_godwit,3
East Campus,3,black_turnstone,0
East Campus,3,sanderling,115
East Campus,3,western_sandpiper,1
East Campus,3,least_sandpiper,10
East Campus,3,dunlin,0
East Depressions,1,black_bellied_plover,4
